icao;manufacturer;name;short-name;type;wtc;mtow;wingspan;recat-eu;final-speed;initial-roc
A10;Fairchild-Dornier;A10 Thunderbolt 2;Fairchild A10;Landplane;M;22.7;17.5;Lower Medium;140;6000
A109;Agusta;AW109 Power;AW109 Power;Helicopter;L;3;11;Light;40;1900
A124;Antonov;An124 Ruslan;An124;Landplane;H;405;73.3;Super Heavy;140;1200
A129;Agusta;Mangusta;Mangusta;Helicopter;L;4.6;11.9;Light;40;2050
A19N;Airbus;A319neo;A319neo;Landplane;M;75.5;35.8;Upper Medium;130;2500
A20N;Airbus;A320neo;A320neo;Landplane;M;79;35.8;Upper Medium;135;2000
A21N;Airbus;A321neo;A321neo;Landplane;M;97;35.8;Upper Medium;140;2000
A225;Antonov;An225 Mriya;An225;Landplane;J;600;88.4;Special;150;1700
A306;Airbus;A-300-600;A300-600;Landplane;H;171.7;44.84;Lower Heavy;139;3000
A30B;Airbus;A300;A300;Landplane;H;165;44.8;Lower Heavy;141;3000
A310;Airbus;A-310;A310;Landplane;H;150;43.9;Lower Heavy;139;2500
A318;Airbus;A318;A318;Landplane;M;59;34.1;Upper Medium;125;3000
A319;Airbus;A319;A319;Landplane;M;64;34.1;Upper Medium;130;2500
A320;Airbus;A320;A320;Landplane;M;73.9;34.1;Upper Medium;137;2500
A321;Airbus;A321;A321;Landplane;M;83;34.1;Upper Medium;141;2500
A332;Airbus;A330-200;A330-200;Landplane;H;230;60.3;Upper Heavy;140;2000
A333;Airbus;A330-300;A330-300;Landplane;H;230;60.3;Upper Heavy;140;2000
A338;Airbus;A330-800;A330-800;Landplane;H;251;64;Upper Heavy;140;2000
A339;Airbus;A330-900;A330-900;Landplane;H;251;64;Upper Heavy;140;2000
A342;Airbus;A340-200;A340-200;Landplane;H;275;60.3;Upper Heavy;150;1500
A343;Airbus;A340-300;A340-300;Landplane;H;275;60.3;Upper Heavy;150;1400
A345;Airbus;A340-500;A340-500;Landplane;H;368;63.45;Upper Heavy;155;1500
A346;Airbus;A340-600;A340-600;Landplane;H;368;63.45;Upper Heavy;155;1500
A359;Airbus;A350-900 XWB;A350-900;Landplane;H;268;64.8;Upper Heavy;140;3000
A35K;Airbus;A350-1000 XWB;A350-1000;Landplane;H;319;64.75;Upper Heavy;150;2500
A388;Airbus;A-380-800;A380-800;Landplane;J;560;79.8;Super Heavy;140;1500
A3ST;Airbus;A300ST Beluga;A300ST Beluga;Landplane;H;155;44.8;Lower Heavy;140;1200
A4;McDonnell Douglas;Skyhawk;Skyhawk;Landplane;M;11.136;8.4;Light;135;8500
A400;Airbus;A-400M Atlas;A400M;Landplane;H;141;42.4;Lower Heavy;130;2000
A6;Grumman;A6 Intruder, Prowler;Prowler;Landplane;M;28;16.2;Lower Medium;110;10000
A748;Avro;748;Avro 748;Landplane;M;21.09;30;Lower Medium;120;1000
AC11;Commander;112 Commander 112;Commander 112;Landplane;L;1.48;10;Light;70;800
AC50;Rockwell;500 Commander 500;Commander 500;Landplane;L;3.06;14.9;Light;75;1000
AC56;Aero;560 Commander 560;Commander 560;Landplane;L;3.06;14.9;Light;75;1000
AC68;Aero;680F Commander 680F;Commander 680F;Landplane;L;3.86;13.4;Light;75;1000
AC6L;Aero Commander;680FL Grand Commander;Grand Commander;Landplane;L;4.65;14.4;Light;75;1000
AC95;Gulfstream;695 Jetprop Commander 980/1000;Gulfstream 695;Landplane;L;5.08;15.9;Light;100;2000
EAST;Aerostar;600,601;Aerostar 600;Landplane;L;2.86;11.2;Light;100;1500
AJET;DAssault;Alpha Jet;Alpha Jet;Landplane;M;7;9.1;Light;92;10000
AMXM;AMX;Alenia AMX;Alenia;Landplane;M;13;8.9;-;140;10000
AN12;Antonov;An12;Antonov An12;Landplane;M;61;38;Upper Medium;122;1500
AN2;PZL-MIELEC;AICSA AN-2;An-2;Landplane;L;5.5;18.2;Light;55;650
AN22;Antonov;An22 Antheus;Antonov An22;Landplane;H;225;64.4;Upper Heavy;140;-
AN24;Antonov;An24;Antonov An24;Landplane;M;21;29.2;Lower Medium;120;1500
AN26;Antonov;An26;Antonov An26;Landplane;M;24;29.2;Lower Medium;105;1500
AN28;PZL-MIELEC;An28;An28;Landplane;L;6.5;22.1;Light;90;900
AN30;Antonov;An-30;Antonov An30;Landplane;M;21.8;29.2;Lower Medium;95;1500
AN32;Antonov;An-32, Firekiller;An-32;Landplane;M;27;29.2;Lower Medium;100;1500
AN38;Antonov;An-38;Antonov An-38;Landplane;M;8.8;22.1;Light;120;1000
AN70;Antonov;An-70;Antonov An-70;Landplane;M;130;44.1;Lower Heavy;140;1500
An72;Antonov;An-72/74;Antonov An-72;Landplane;M;34.5;31.9;Lower Medium;100;2500
AS32;Eurocopter;Super Puma;Super Puma;Helicopter;M;9.35;16.2;Light;40;1500
ASTR;Israel Aerospace Industries;Gulfstream G100;Gulfstream G100;Landplane;M;11.18;16.1;Light;120;3000
AT43;ATR;Alenia ATR-42-300/320;ATR-42-300;Landplane;M;16.7;24.6;Lower Medium;120;1000
AT44;ATR;ATR-42-400;ATR-42-400;Landplane;M;17.9;24.6;Lower Medium;120;1900
AT45;ATR;Alenia ATR-42-500;ATR-42-500;Landplane;M;18.6;24.6;Lower Medium;110;1500
AT72;ATR;ALenia ATR-72;ATR-72;Landplane;M;21.5;27.1;Lower Medium;120;1500
AT75;ATR;ATR-72-500;ATR-72-500;Landplane;M;23;27.05;Lower Medium;120;1350
ATLA;Breguet;1150 Atlantic;Atlantic;Landplane;M;43.5;36.3;Upper Medium;130;2000
ATP;British Aerospace;ATP;ATP;Landplane;M;22.93;30.6;Lower Medium;105;1000
B06;Bell;Bell JetRanger;JetRanger;Helicopter;L;1.451;10.16;Light;40;1350
B1;Rockwell;B-1 Lancer;Lancer;Landplane;H;216.365;41.7;Lower Heavy;150;-
B190;Raytheon;1900 (C-12J);Raytheon 1900;Landplane;M;7.69;17.7;Light;120;2500
B2;Northrop;B-2 Spirit;B-2;Landplane;H;170.55;52.4;Special;140;1500
B230;Bell;Bell 230;Bell 230;Helicopter;L;3.81;12.8;Light;40;1600
B350;Hawker Beechcraft;B300 Super King Air 350;Super King Air;Landplane;L;6.8;17.7;Light;110;2000
B37M;Boeing;Boeing 737 MAX 7;Boeing 737;Landplane;M;80;35.9;Upper Medium;145;2800
B38M;Boeing;Boeing 737 MAX 8;Boeing 737;Landplane;M;82.6;35.9;Upper Medium;145;2500
M39M;Boeing;Boeing 737 MAX 9;Boeing 737;Landplane;M;88.3;35.9;Upper Medium;150;2300
M3XM;Boeing;Boeing 737 Max 10;Boeing 737;Landplane;M;89.8;35.92;Upper Medium;155;2000
B412;Bell;Agusta-Bell 412 Grifone;Bell 412;Helicopter;L;5.397;14;Light;40;1300
B430;Bell;Bell 430;Bell 430;Helicopter;L;4.218;12.8;Light;40;1400
B461;British Aerospace;BAe-146-100;BAe-146-100;Landplane;M;23.29;26.21;Lower Medium;125;1500
B462;British Aerospace;BAe-146-200;BAe-146-200;Landplane;M;42.2;26.34;Lower Medium;125;1500
B463;British Aerospace;BAe-146-300;BAe-146-300;Landplane;M;46;26.34;Lower Medium;125;1500
B52;Boeing;B-52 Stratofortress;Stratofortress;Landplane;H;221.350;56.4;Special;170;3000
B701;Boeing;Boeing 707-100;Boeing 707;Landplane;M;86.184;39.9;Upper Medium;130;1300
B703;Boeing;Boeing 707-300;Boeing 707;Landplane;H;150.8;44.4;Lower Heavy;140;2000
B712;Boeing;Boeing 712-200;Boeing 712;Landplane;M;54.885;28.5;Lower Medium;139;3000
B720;Boeing;Boeing 720;Boeing 720;Landplane;M;108;39.9;Lower Heavy;133;1700
B722;Boeing;Boeing 727-200;Boeing 727;Landplane;M;95.3;32.9;Upper Medium;133;2000
B731;Boeing;Boeing 737-100;Boeing 737;Landplane;M;49.95;28.3;Lower Medium;149;1500
B732;Boeing;Boeing 737-200;Boeing 737;Landplane;M;52.39;28.3;Lower Medium;131;1500
B733;Boeing;Boeing 737-300;Boeing 737;Landplane;M;56.47;28.9;Lower Medium;132;2500
B734;Boeing;Boeing 737-400;Boeing 737;Landplane;M;62.82;28.9;Lower Medium;139;3000
B735;Boeing;Boeing 737-500;Boeing 737;Landplane;M;52.39;28.9;Lower Medium;128;3000
B736;Boeing;Boeing 737-600;Boeing 737;Landplane;M;56.24;34.3;Upper Medium;130;3000
B737;Boeing;Boeing 737-700;Boeing 737;Landplane;M;66.32;34.3;Upper Medium;137;3000
B738;Boeing;Boeing 737-800;Boeing 737;Landplane;M;70.53;34.3;Upper Medium;147;3000
B739;Boeing;Boeing 737-900;Boeing 737;Landplane;M;79.015;34.3;Upper Medium;150;3000
B741;Boeing;Boeing 747-100;Boeing 747;Landplane;H;333.4;59.6;Upper Heavy;150;1000
B742;Boeing;Boeing 747-200;Boeing 747;Landplane;H;374.85;59.6;Upper Heavy;150;1000
B743;Boeing;Boeing 747-300;Boeing 747;Landplane;H;374.85;59.6;Upper Heavy;160;2000
B744;Boeing;Boeing 747-400;Boeing 747;Landplane;H;396.89;64.8;Upper Heavy;152;1500
B748;Boeing;Boeing 747-8;Boeing 747;Landplane;H;443.35;68.5;Upper Heavy;145;2500
B74D;Boeing;Boeing 747-400 Domestic;Boeing 747;Landplane;H;378.182;64.8;Upper Heavy;160;1500
B74R;Boeing;Boeing 747SR;Boeing 747;Landplane;H;340.19;59.6;Upper Heavy;150;1000
B74S;Boeing;Boeing 747SP;Boeing 747;Landplane;H;317.52;59.6;Upper Heavy;140;3000
B752;Boeing;Boeing 757-200;Boeing 757;Landplane;M;115.68;38.1;Lower Heavy;130;3500
B753;Boeing;Boeing 757-300;Boeing 757;Landplane;M;123.6;38.1;Lower Heavy;143;3000
B762;Boeing;Boeing 767-200ER;Boeing 767;Landplane;H;179.170;47.6;Lower Heavy;135;2000
B763;Boeing;Boeing 763-300ER;Boeing 767;Landplane;H;186.88;47.6;Lower Heavy;140;3000
B764;Boeing;Boeing 767-400;Boeing 767;Landplane;H;204.12;51.9;Lower Heavy;150;2500
B772;Boeing;Boeing 777-200;Boeing 777;Landplane;H;247.21;60.9;Upper Heavy;140;3000
B773;Boeing;Boeing 777-300;Boeing 777;Landplane;H;299.37;60.9;Upper Heavy;149;3000
B77L;Boeing;Boeing 777-200LR;Boeing 777;Landplane;H;347.5;64.8;Upper Heavy;140;2500
B77W;Boeing;Boeing 777-300ER;Boeing 777;Landplane;H;251.5;64.8;Upper Heavy;149;3000
B788;Boeing;Boeing 787-8 Dreamliner;Boeing 787;Landplane;H;228;52;Upper Heavy;140;2700
B789;Boeing;Boeing 787-9 Dreamliner;Boeing 787;Landplane;H;254.011;60.12;Upper Heavy;150;2700
B78X;Boeing;Boeing 787-10 Dreamliner;Boeing 787;Landplane;H;254.011;60.12;Upper Heavy;150;2700
BA11;British Aerospace;BAC 1-11;BAC 1-11;Landplane;M;45.201;28.5;Lower Medium;137;1200
BCS1;Airbus;Airbus A220-100;Airbus A220;Landplane;M;63.1;35.1;Lower Medium;135;3500
BCS3;Airbus;Airbus A220-300;Airbus A220;Landplane;M;69.9;35.1;Lower Medium;140;3100
BDOG;Scottish Aviation;Bulldog;Bulldog;Landplane;L;1.066;10.1;Light;75;1000
BE10;Hawker Beechcraft;King Air 100;King Air;Landplane;L;5.25;14;Light;100;1500
BE20;Hawker Beechcraft;King Air 200;King Air;Landplane;L;5.67;16.6;Light;100;2000
BE23;Hawker Beechcraft;23 Musketeer, Sundowner;Musketeer;Landplane;L;1.09;10;Light;70;400
BE33;Hawker Beechcraft;33 Debonair, Bonanza (E-24);Bonanza;Landplane;L;1.39;10.2;Light;70;800
BE36;Hawker Beechcraft;36 Bonanza (piston);Bonanza;Landplane;L;1.65;8.4;Light;70;500
BE40;Hawker Beechcraft;Beechjet 400;Beechjet;Landplane;M;7.3;13.3;Light;120;3000
BE50;Hawker Beechcraft;50 Twin Bonanza;Twin Bonanza;Landplane;L;2.86;14;Light;80;1000
BE55;Hawker Beechcraft;55 Baron;Baron;Landplane;L;2.3;11.5;Light;95;1500
BE58;Hawker Beechcraft;58 Baron;Baron;Landplane;L;2.5;11.5;Light;95;1500
BE60;Hawker Beechcraft;60 Duke;Duke;Landplane;L;3.07;12;Light;95;1500
BE70;Hawker Beechcraft;70 Queen Air;Queen Air;Landplane;L;3.7;15.5;Light;110;1300
BE76;Hawker Beechcraft;76 Duchess;Duchess;Landplane;L;1.77;11.6;Light;85;1000
BE80;Hawker Beechcraft;80 Queen Air;Queen Air;Landplane;L;3.99;15.5;Light;90;1000
BE95;Hawker Beechcraft;Beech 95 Travel Air;Travel AIr;Landplane;L;1.905;11.5;Light;85;1400
BE99;Hawker Beechcraft;99 Airliner;Beech Airliner;Landplane;L;7.6;14;Light;110;1000
BE9L;Hawker Beechcraft;King Air 90;King Air;Landplane;L;4.581;15.3;Light;105;1500
BER4;Beriev OKB;A-4 Albatros;Albatros;Landplane;M;86;41.62;Upper Medium;165;2000
BN2T;Pilatus Britten-Norman;BN-2T Turbine Islander, Turbine Defender;Defender;Landplane;L;3.175;15;Light;65;800
C06T;Cessna;Cessna 206;Cessna 206;Landplane;L;1.632;10.97;Light;70;800
C130;Lockheed;Hercules;Hercules;Landplane;M;70.31;40.4;Upper Medium;130;1500
C135;Boeing;C-135 Stratolifter;Stratolifter;Landplane;H;146.29;39.9;Lower Heavy;150;1500
C141;Lockheed;C-141 Starlifter;Starlifter;Landplane;H;155.58;48.7;Lower Heavy;140;2000
C150;Cessna;150, A150, Commuter, Aerobat;Cessna 150;Landplane;L;0.68;10.2;Light;55;400
C152;Cessna;152, A152, Aerobat;Cessna 152;Landplane;L;0.76;10.2;Light;55;500
C160;Transall;C-160;Transall C160;Landplane;M;51;40;Upper Medium;125;1200
C17;Boeing;C-17 Globemaster 3;Globemaster;Landplane;H;265.35;51.8;Lower Heavy;115;2000
C172;Cessna;172, Skyhawk;Cessna 172;Landplane;L;1.05;10.9;Light;65;400
C177;Cessna;177, Cardinal;Cessna 177;Landplane;L;1.07;10.8;Light;65;500
C182;Cessna;182, Skylane;Cessna 182;Landplane;L;1.27;11;Light;65;500
C2;Grumman;C-2 Greyhound;Greyhound;Landplane;M;24.687;24.6;Lower Medium;105;1500
C206;Cessna;206;Cessna 206;Landplane;L;1.65;10.9;Light;70;800
C207;Cessna;207, Skywagon;Cessna 207;Landplane;L;1.72;10.9;Light;75;500
C208;Cessna;208, Caravan, Cargomaster;Cessna 208;Landplane;L;3.629;15.9;Light;75;800
C210;Cessna;210, Centurion;Cessna 210;Landplane;L;1.82;11.2;Light;75;500
C212;CASA;Aviocar;Aviocar;Landplane;M;7.7;20.3;Light;90;1000
C25A;Cessna;525A Citation CJ2;Cessna Citation;Landplane;L;5.67;15.19;Light;110;3500
C25B;Cessna;525B Citation CJ3;Cessna Citation;Landplane;L;6.291;16.26;Light;108;3500
C25C;Cessna;525C Citation CJ4;Cessna Citation;Landplane;L;7.761;15.49;Light;110;3500
C25M;Cessna;525 Citation M2;Cessna Citation;Landplane;L;4.853;14.39;Light;105;3700
C303;Cessna;Aviones Colombia T303;Cessna Aviones;Landplane;L;2.34;11.9;Light;90;1000
C30J;Lockheed;C-130J Hercules;Hercules;Landplane;M;70.3;40.4;Upper Medium;130;2000
C310;Cessna;310, T310;Cessna 310;Landplane;L;2.494;11.3;Light;94;1000
C337;Cessna;337, M337, MC337, T337;Cessna 337;Landplane;L;2.1;11.6;Light;90;800
C340;Cessna;340;Cessna 340;Landplane;L;2.71;11.6;Light;93;1000
C402;Cessna;401, 402, Utililiner, Businessliner;Cessna 401;Landplane;L;2.86;13.5;Light;110;1200
C404;Cessna;404, Titan;Cessna 404;Landplane;L;3.83;15.1;Light;100;1200
C414;Cessna;414, Chancellor;Cessna 414;Landplane;L;3.06;12.5;Light;110;1200
C421;Cessna;421, Executive Commuter;Cessna 421;Landplane;L;3.1;12.2;Light;95;1500
C425;Cessna;425, Corsair, Conquest 1;Cessna 425;Landplane;L;3.9;13.5;Light;110;2000
C441;Cessna;441, Conquest, Conquest2;Cessna 441;Landplane;L;4.47;15;Light;100;2000
C5;Lockheed;C-5 Galaxy;Galaxy;Landplane;H;348.82;67.9;Upper Heavy;135;1500
C525;Cessna;525, CitationJet, Citation CJ1;CitationJet;Landplane;L;4.717;14.3;Light;110;3000
C526;Cessna;526, Citation;Cessna Citation;Landplane;L;33.57;11.28;Light;115;2000
C550;Cessna;550, Citation 2;Cessna Citation;Landplane;L;6.85;15.9;Light;110;2000
C560;Cessna;560, Citation 5, Ultra Encore;Cessna Citation;Landplane;M;7.21;13.8;Light;110;2500
C56X;Cessna;560XL, Citation Excel;Cessna Citation;Landplane;M;8.709;17;Light;117;2500
